Samiyyah Manning,,"Samiyyah Manning, better known as “Ms. Me-Me,” has made a name for herself after only being on the comedy scene for a year and a half. The Washington D.C. native, who resides in SE Maryland, was influenced by comediennes such as: Sommore and Monique, uses her unique sarcasm, quick wit, and unexpected humor to catch her audience pleasantly off guard. Her ability to make jokes based on her life, as well as her improvisational skills, being a single mother of three children, and an ex-wife, she has a lot to say and brings the truth to what she speaks. She is a regular at places such as The Comedy Factory, The Brightwood Bistro, My Place, and countless other places in D.C., Maryland, and Virginia. In November of 2010, she opened up for Cedric The Entertainer at the D.C. Convention Center. Currently she has her own comedy room every Wednesday at the Fab 5 VIP Lounge in Clinton, MD., and will soon be a host on the upcoming online radio show High Society Radio. Ms. Me-Me has been dubbed the “Diva of Comedy” in the D.C., Maryland, and Virginia areas and lives up to the name “Diva of Comedy”. o come see the answer to the question “What the hell is so damn funny???”",
Kandace Saunders,,"While growing up on the outskirts of Aberdeen Proving Ground, MD. Kandace decided she would rather write jokes than play with ordnance. Kandace then used those jokes to entertain classmates and family members. In 2005, while employed at the Improv in Baltimore, Kandace began her career as a standup comedian. Kandace’s sarcasm and quick wit, coupled with her ability to turn life experiences into “extremely laughable situations”, keep audiences guessing, (and laughing) at every turn. Her unique brand of comedy has allowed her to work with Pablo Francisco, Tony Woods, and other big name acts. Kandace recently performed for sold out crowds at the University of Maryland, and The Funnybone Comedy Club in Richmond, VA. Kandace can be seen performing at clubs and colleges up and down the east coast.",/assets/uploads/comedians/Kandace_Saunders.jpg
Anissa ‘Darkchild’ Banes,,"Philly’s own Anissa Bane A.K.A/ Ms. Darkchild, brings an energy, passion and vision to the comedy stage. Ms. Darkchild began her comedy career in Philadelphia in 1999 and has earned the title “The Princess of Comedy”.  Ms. Darkchild can be seen regularly at open mics and comedy clubs throughout Philadelphia and much of the East Coast. She’s opened for T.K. Kirkland AND Roz G. at Philly’s LaffHouse, and ROCKED OUT at the Riot Act for the DIVAS OF COMEDY show in November, as well as and PHILLY’S FINEST show in January! You don’t want to miss her!",/assets/uploads/comedians/Riot_Act_DarkChild.jpg
Brandon Wardell,,"Brandon Wardell is a comedy wunderkind. Brandon Wardell has been in the stand-up comedy game for two years. Brandon Wardell has performed comedy jokes at SXSW and the Bridgetown Comedy Festival. Brandon Wardell lives in the Washington DC area, where he is truly the golden child of their comedy scene.",/assets/uploads/comedians/IMG_9009.jpg
Tommy Griffith,,"Tommy Griffiths is host of the morning show on Washington, DC’s Classic Rock station Big 100.3, he’s opened for John Pinette, Ralphie May, Jeffery Ross’ Roasting America coming soon to Comedy Central, and hosted Charlie Sheen’s Torpedo of Truth Tour in DC in 2011. Tommy’s proudest moment was serving as a “guest security guard” on the Jerry Springer Show last May.",/assets/uploads/comedians/tommy_g_001.jpg
Sampson McCormick,,"Sampson is an openly gay, black stand up comedian, writer and activist. He’s been touring the country, performing comedy since 2003, and includes tirelessly speaking out against homophobia and youth homelessness to his schedule as an activist. Although he fits into a “double minority” category, being black and gay, he refuses to be defined by these portions of his identity and performs mainstream venues and comedy clubs that include Broadway in New York, Arena Stage, DAR Constitution Hall, College Campuses including Harvard University and University of Maryland, LGBT Pride Festivals, Churches, Theatres, Bars, Nightclubs, Strip clubs, STD Clinics, on one occassion a Funeral Home, and with many notable acts including Patti LaBelle and RuPaul.",/assets/uploads/comedians/Sampson.jpg
,,,
,,"He also self produced a wildy successful run of his comedy concert, “Don’t Make Me Take Off My Earrings”, which was released as a live stand up album in 2011. He also has a comedy cooking show “Cooking: For Bitches Who Want to Keep Their Men Happy”, an online video blog and has written a book “Taboo Village: A Perspective on Being Gay in Black America”. He has also been seen on BET & MTV and the Comcast Online Network. His comedy has been called “riveting, refreshing, conversational, bold, intelligent and honest” as his takes on life, religion, politics, sexuality, children and opinions leave audiences doubled over in laughter.",
Shorty Ward,,"Born in Raritan, NJ and raised in Paterson, NJ comedian Shorty has been blazing the comedy scene for more than 10 years. Most recently, Shorty has filmed a television pilot for BET called “Busted” (aired April 12, 2008-check BET.com for more details), performed at the 2008 Los Angeles Comedy Festival, filmed an appearance for BET’S NOTARIZED (aired New Year’s Eve 2008) and graced the stages of Talant’s (It’s Just Comedy Tour) and Hot 97’s DJ Cipha Sounds Comedy show at Comix in Manhattan, NY. Shorty is also a regular at the Wendy Williams Comedy Experience and Ed Lover’s and Friends Comedy Show at Carolines. Shorty’s awesome talent was first noticed by Bill Belamy in (1997) at New Jersey’s Peppermint Lounge, Shorty has since molded his craft in to quick-witted, off-the-cuff, make-your-face-hurt kind of comedy enjoyed by all.",/assets/uploads/comedians/shorty0794web.jpg
,,  ,
